number,group_number,group_name,description,dimensions,price
8225-2,8225-3,Alain Collection ,Love Seat,75.5 x 35.5 x 37H,300.0
1904GY-9,1904GY-1*,Beechnut Collection,Chest,33 x 16.5 x 50.25H,168.0
1218DG-3,1218DG,Roweena Collection,Sofa,74 x 33 x 32.5H,288.0
1218RN-3,1218RN,Roweena Collection,Sofa,74 x 33 x 32.5H,288.0
1915-5,1915-1,Anika Collection,Dresser,55.5 x 17.75 x 36.75H,370.0
1386-12,1386T-1,Cinderella Collection,7-Drawer Tall Chest,24 x 17 x 56H,246.0
8226GY-AC,8226GY,Savarin Collection ,Armless Chair,36 x 36 x 34H,147.0
2952-30,2952-30,Halston Collection ,Cocktail Table with Glass Top,52 x 32 x 20H,101.0
1766-4,1766-1*,Barbour Collection,Night Stand,28 x 17 x 29H,137.0
1385-7*,1385-1,Madaleine Collection ,Armoire,43 x 22 x 72H,703.0
5546-50*,5546-84,Crawford Collection ,Buffet & Hutch,60.25 x 18.5 x 80.5H,728.0
3593-04*,3593-01,Laszlo Collection ,Round End Table with Glass Top,24 Dia x 22.5H,94.0
3593-01*,3593-01,Laszlo Collection ,Round Cocktail Table with Glass Top,36 Dia x 17.25H,134.0
1935-04,1935-30,Bonaventure Park Collection ,End Table,24 x 26 x 25H,190.0
3551-05,3551-30,Ridley Collection ,Sofa Table with Marble Top,48 x 18 x 31H,164.0
2025T-1HB,2025T-1HB,Potrero Collection ,Twin Headboard,HB: 48.5H ,57.0
8216DG-1,8216DG-3,Cornelia Collection ,Chair,40.5 x 34.25 x 36.5H,170.0
4829LN*,4829LN,Caffery Collection ,Elegant Lounger Sofa,82.5 x 32 x 34.75H,221.0
5790-1*,5790-1,Zoey Collection ,Queen Platform Bed,HB: 35H FB: 11H,117.0
1385-1*,1385-1,Madaleine Collection ,Queen Bed,HB: 60H FB: 36H,339.0
5400-04,5400-30,Schleiger Collection ,End Table,24 x 23.5 x 23.75H,78.0
4960DB-NT,4960DB-NT,Courtney Collection ,Metal Daybed with Trundle Daybed:  79 x 39.75 x 42H Trundle:  74 x 39 x 6H ,Daybed: 79 x 39.75 x 42H Trundle: 74 x 39 x 6H,167.0
8226DB-AC,8226DB,Savarin Collection ,Armless Chair,36 x 36 x 34H,147.0
5466-04,5466-30,Festus Collection ,End Table with Marble Top,24 x 22 x 24H,83.0
5328S,5328-45RD,Veltry Collection ,Side Chair,18.5 x 19 x 36H,68.0
1752-4,1752-1*,Griffon Collection,Night Stand,27.5 x 16.75 x 26.75H,134.0
8079-04,8079-30,Santos Collection ,End Table,22 x 22 x 21.25H,75.0
1385-6,1385-1,Madaleine Collection ,Mirror,42 x 1.5 x 40H,88.0
2544S,2528-64*,Alouette Collection,Side Chair,19 x 25 x 39H,44.0
1385-5,1385-1,Madaleine Collection ,Dresser,66 x 19 x 38.5H,405.0
1752-1*,1752-1*,Griffon Collection,Queen Platform Bed with Footboard Storage,HB: 57H  FB: 18H,437.0
5400-05,5400-30,Schleiger Collection ,Sofa Table,47.75 x 17.75 x 30H,101.0
17807*,17809,Alouette Collection ,End Table with All Glass,26 x 26 x 20H,65.0
3257RF-02,3257RF-30,Carrier Collection ,Chairside Table with Functional Drawer,18 x 24 x 24H,76.0
3224N-17,3224N-05,Daria Collection,"40"" W Bookcase",40 x 18 x 72H,242.0
8224TN-3,8224TN-3,Marceau Collection ,Sofa,78.25 x 32.5 x 30.5H,326.0
17809*,17809,Alouette Collection ,Cocktail Table with All Glass,36 x 36 x 17H,90.0
5145W-78,5145W-78,Azalea Collection ,Dining Table,44 x 60 – 78 x 30H,291.0
3224N-16,3224N-30,Daria Collection ,"26"" W Bookcase",26 x 15 x 74H,180.0
8226GY-CR,8226GY,Savarin Collection ,Corner Seat,36.5 x 36.5 x 34H,174.0
2220-4,2220T-1,Lorenzi Collection ,Night Stand,21.25 x 16 x 22H,56.0
8412-04,8412-30,Fiorella Collection , End Table with Marble Top ,28 x 26 x 24H,236.0
3588-04,3588-30,Sikeston Collection ,End Table,21.25 x 21.25 x 22.5H,57.0
8244RN-1,8244RN-3,Erath Collection ,Chair,41 x 39 x 39H,195.0
5285-13,5285-64,Huron Collection ,"49"" Bench",49 x 18 x 20H,71.0
5177-05,5177-30,Beaugrand Collection ,Sofa Table,50 x 18.5 x 30H,169.0
2147-5,2147T-1,Mayville Collection ,Dresser,58.25 x 15.75 x 33H,184.0
8204-3,8204-3,Bechette Collection ,Sofa,86.5 x 38.25 x 37.5H,350.0
3224N-05,3224N-05,Daria Collection,Sofa Table / TV Stand,50 x 18 x 30H,173.0
3533-05,3533-30,Tioga Collection ,Sofa Table with Functional Drawer,47.75 x 16 x 30H,194.0
5328S,5328-96,Veltry Collection ,Side Chair,18.5 x 19 x 36H,68.0
9700FCP-2,9700FCP,Cranley Collection ,Double Reclining Love Seat,62 x 37.5 x 38.5H,340.0
5466-62,5466-62,Festus Collection ,Dining Table with Marble Top,36 x 62 x 30H,228.0
9700BLK-2,9700BLK-3,Cranley Collection ,Double Reclining Love Seat,62 x 37.5 x 38.5H,340.0
8219-3,8219-3,Veloce Collection ,Sofa,78 x 34 x 35H,273.0
3256RF-02,3256RF-30,Ballwin Collection ,Chairside Table,14 x 24 x 24H,57.0
3447-04,3447-30,Orton Collection ,End Table with Faux Marble Top,22 x 22 x 23H,60.0
B2053W-R,B2053SBW-1,Galen Collection ,Twin Trundle,74.75 x 40.5 x 10.75H,65.0
3224N-17,3224N-30,Daria Collection ,"40"" W Bookcase",40 x 18 x 72H,242.0
8480GRY-1,8480GRY-3,Pecos Collection ,Glider Reclining Chair,42 x 40 x 39H,278.0
9909CH-5,9909CH,Comfort Living Collection ," Reversible Chaise, Left/Right Unit ",84 x 34 x 36H,249.0
3228-05,3228-30,Factory Collection ,Sofa Table / TV Stand,62 x 18 x 30H,177.0
5177-30,5177-30,Beaugrand Collection ,Cocktail Table,50 x 26 x 19H,194.0
3257RF-04,3257RF-30,Carrier Collection ,End Table with Functional Drawer,24 x 27 x 24H,94.0
3526-05,3526-30,Mariacarla Collection , Sofa Table with Marble Top ,56 x 20 x 32H,268.0
5469S,5469-60,Chama Collection ,Side Chair,17.25 x 22.75 x 37.75H,28.0
5177-04,5177-30,Beaugrand Collection ,End Table,26 x 24 x 24H,112.0
8427-2,8427-3,Savonburg Collection ,Love Seat,74.75 x 39.75 x 32H,520.0
3581-04,3581-30,Chehalis Collection ,End Table with Functional Drawer,24 x 24 x 24H,143.0
8579DB-2,8579DB-3,Hume Collection ,Love Seat,63 x 35 x 36.25H,253.0
3605-31,3605-31,Suisun Collection ," 3-Piece Occasional Tables with Glass Top 
Cocktail Table:  48 x 24 x 16.5H 
End Table::  24 x 24 x 21.25H ",,67.0
710-04*,710-30,Daisy Collection ,Round End Table with Glass Top,30 Dia x 21H,112.0
5554-05,5554-30,Trammel Collection ,Sofa Table with Functional Drawer,50 x 19 x 30H,184.0
710-05*,710-30,Daisy Collection ,Sofa Table with Glass Top,50 x 19 x 28H,118.0
2546A,2546-96,Keegan Collection ,Arm Chair,23.5 x 23 x 40.5H,73.0
5560-30,5560-30,Lockwood Collection ,Cocktail Table with Marble Top,50 x 30 x 20H,271.0
8480RED-2,8480RED-3,Pecos Collection ,Double Reclining Love Seat,65 x 40 x 39H,420.0
1288-301,1288-301,Ella Martin Collection ,Cocktail Table with Glass Insert,50 x 30 x 19H,180.0
710-30*,710-30,Daisy Collection ,Cocktail Table with Glass Top,52 x 28 x 18.5H,140.0
9700BLK-3,9700BLK-3,Cranley Collection ,Double Reclining Sofa,83 x 37.5 x 38.5H,425.0
2147-5,2147-1,Mayville Collection ,Dresser,58.25 x 15.75 x 33H,184.0
3604-31,3604-31,Olas Collection ," 3-Piece Occasional Tables with Glass Top 
Cocktail Table:  48 x 24 x 19H 
End Table::  24 x 24 x 24H ",,71.0
8235SS-1,8235SS-3,Breaux Collection ,Chair,35 x 34.5 x 33H,153.0
1193F6S,1193F6S,Barlowe Collection ,Accent Chair,31.5 x 30.75 x 32.75H,161.0
2145-9,2145-1,Edina Collection ,Chest,35.5 x 16.25 x 48.75H,165.0
8234TT-5,8234TT-3,Grande Isle Collection ,Chaise,33.75 x 61.75 x 38.75H,337.0
1707-9,1707-1,Lavonia Collection ,Chest,42 x 19 x 55.5H,345.0
8244BU-1,8244BU-3,Erath Collection ,Chair,41 x 39 x 39H,195.0
5560-04,5560-30,Lockwood Collection ,End Table with Marble Top,26 x 26 x 26H,162.0
1845-4,1845LED-1,Alonza Collection ,Night Stand,30 x 17.75 x 30H,144.0
8427-1,8427-3,Savonburg Collection ,Chair,51.25 x 39.75 x 32H,378.0
5543-05,5543-30,Tarantula Collection ,Sofa Table with Marble Top,50 x 20 x 30H,266.0
5553-05,5553-01,Jenkins Collection ,Sofa Table,49.5 x 19.5 x 29.5H,147.0
5516BMS,5516-66,Janina Collection ,"Side Chair, Buttermilk",17.25 x 23 x 39H,44.0
5553-04,5553-01,Jenkins Collection ,Round End Table,25.5 Dia x 25.5H,108.0
8480RED-3PW,8480RED-3,Pecos Collection ,Power Double Reclining Sofa,88 x 40 x 39H,643.0
5543-04,5543-30,Tarantula Collection ,End Table with Marble Top,28 x 28 x 25H,210.0
8490FBR-CR,8490FBR-AC,Columbus Collection ,Corner Seat,65 x 40 x 40H,277.0
5538BK*,5538BK,Florian Collection ,Dining Table Glass Top,55 x 31.5 x 29.5H,51.0
1288-307,1288-301,Ella Martin Collection ,Sofa Table with Glass Insert,54 x 19 x 29H,179.0
1288-305,1288-301,Ella Martin Collection ,End Table with Glass Insert,28 x 24 x 25H,141.0
1769-9,1769-1*,Bracco Collection,Chest,38 x 18 x 55H,255.0
4738PU,4738PU,Blasey Collection ,Storage Bench with 2 Ottomans,45 x 17 x 18H,97.0
5108S,5108-84,Mill Valley Collection,Side Chair,19.5 x 23.75 x 39.5H,69.0
4741FA,4741FA,Colusa Collection ,Lift Top Storage Bench,44.5 x 19 x 18.75H,105.0
2145F-1*,2145-1,Edina Collection ,Full Bed,HB: 52H FB: 14H,130.0
5438-96*,5438-96,Toulon Collection ,Trestle Dining Table,42 x 76 – 96 x 30H,365.0
1234-4,1234-1,Parlier Collection ," Ottoman, Show Wood ",32 x 25.5 x 20.25H,168.0
8238-AR,8238-AC,Shreveport Collection ,Armless Reclining Chair,32 x 39 x 40H,173.0
8235GY-L,8235GY,Breaux Collection ,Left Side Chaise,31 x 58.5 x 33H,206.0
8235GY-1,8235GY-3,Breaux Collection ,Chair,35 x 34.5 x 33H,153.0
8427-3,8427-3,Savonburg Collection ,Sofa,98.5 x 39.75 x 32H,666.0
5438-14A,5438-96,Toulon Collection ,"62"" Bench with Curved Arms",62 x 21 x 34H,188.0
4508-SH,4508-PH,Yara Collection , Regular Height Stool ,14.5 Dia x 19.5H,40.0
4508-PH,4508-PH,Yara Collection ,Pub Height Stool,14.5 Dia x 28H,50.0
8411-CR,8411,Palmyra Collection ,Corner Seat,59 x 40 x 39H,243.0
9668BLK-3,9668BLK,Center Hill Collection ,Double Reclining Sofa,90 x 38.5 x 40H,480.0
4502FA,4502FA,Qirin Collection ,Bench,55.25 x 17 x 21H,155.0
8245GY-1,8245GY-3,Kenner Collection ,Chair,36 x 36 x 38H,169.0
4507-F2,4507-F2,Destry Collection ,Bench,46.5 x 20.5 x 18H,83.0
8206NF-3,8206NF-3,Aram Collection ," Double Reclining Sofa with Center Drop-Down Cup holders, Receptacles and Hidden Drawer",86.5 x 40.25 x 40.25H,514.0
3224N-17,3224N-17,Daria Collection ,"40"" W Bookcase",40 x 18 x 72H,242.0
4501-F1,4501-F1,Tala Collection ,Lift Top Storage Cocktail Ottoman,36 x 26 x 19.5H,109.0
468CP,468CP,Kaitlyn Collection ," Cocktail Ottoman with Casters,Chocolate Textured Plush Microfiber ",36 x 36 x 17H,155.0
5873N-ST,5873N-ST,Elista Collection ,Ottoman,21.5 x 21.5 x 19.25H,66.0
4728ES,4728ES,Elwell Collection ,"Wedged Chairside Table, Espresso",24 x 16 x 23.5H,50.0
4506PU,4506PU,Qirin Collection ,Bench,46 x 20.5 x 19H,124.0
5873N-BH,5873N-BH,Elista Collection ,Bench,49.5 x 20 x 18.5H,131.0
8524BK-2,8524BK,Talbot Collection ,Double Reclining Love Seat,77 × 36.5 × 40.5 - 46.5H,491.0
8235GY-3,8235GY-3,Breaux Collection ,Sofa,88.25 x 34.5 x 33H,317.0
8518-1,8518,Ramsey Collection ,Chair,33 x 33 x 32.5H,121.0
H11765*,H11765,Lambart Collection ,Floor Lamp,18 Dia x 72H,231.0
H11296,H11296,Lenci Collection,Table Lamp,10 x 9 x 28H,78.0
4611PU,4611PU,Wichfield Collection ,Lift Top Storage Bench,44.75 x 17.5 x 20H,91.0
5532-24,5532-36,Sona Collection ,Counter Height Chair,17 x 20.25 x 43.25H,32.0
1845LED-1EK,1845LED-1,Alonza Collection ,"Eastern King Bed, LED Lighting",HB: 62H FB: 28H,0.0
H10130,H10130,Jair Collection,Table Lamp,15 Dia x 28H,77.0
H11761,H11761,Lucian Collection,Table Lamp,15 Dia x 28H,80.0
9636-1,9636-3,Laurelton Collection ,Glider Reclining Chair,43 x 40 x 40H,228.0
1193F3S,1193F3S,Barlowe Collection ,Accent Chair,31.5 x 30.75 x 32.75H,156.0
1372S,1372-78,Crown Point Collection ,Side Chair,19.5 x 22.5 x 40H,54.0
586-36,586-36,Ameillia Collection ,Counter Height Table,54 x 36 – 54 x 36H,232.0
H11762,H11762,Eleena Collection ,Table Lamp,9.5 x 7 x 30.5H,86.0
8403-1,8403-3,Cassville Collection ,Reclining Chair,39.5 x 38 x 38.5H,194.0
1192BE,1192BE,Lucille Collection ,Accent Chair,31 x 30.5 x 31.5H,120.0
1193F7S,1193F7S,Barlowe Collection ,Accent Chair,31.5 x 30.75 x 32.75H,161.0
8412-3,8412-3,Fiorella Collection ,Sofa,84 x 36.5 x 45H,953.0
5489-24,5489-36,Selbyville Collection ,Swivel Counter Height Chair,16.5 Dia x 35.5H,37.0
1266F1S,1266F1S,Rhett Collection ,Accent Chair,37.5 x 38 x 40.5H,224.0
H10081,H10081,Aura Collection ,Table Lamp,16 x 10.5 x 27H,110.0
1968-4,1968-1,Branton Collection ,Night Stand,23.5 x 16.25 x 26.75H,87.0
8490FBR-LC,8490FBR-AC,Columbus Collection ,"Left Side Chaise, Push Back Recliner",39 x 65 x 40H,315.0
H10128,H10128,Elan Collection,Table Lamp,14 x 10 x 28H,73.0
1193F5S,1193F5S,Barlowe Collection ,Accent Chair,31.5 x 30.75 x 32.75H,156.0
5503S,5503,Yannis Collection ,Side Chair,16.5 x 22 x 39.5H,52.0
H11302,H11302,Kiran Collection,Table Lamp,10 x 8 x 30H,72.0
2147BK-12,2147BK-12,Mayville Collection ," Lingerie Chest, Hidden Drawer ",21.5 x 15.75 x 56H,149.0
9700BLK-1,9700BLK-3,Cranley Collection ,Reclining Chair,38 x 37.5 x 38.5H,222.0
5510S,5510-66,Seaford Collection ,Side Chair,19 x 23 x 38H,48.0
8223DB-3PW*,8223DB-3PW,Nicasio Collection ,Power Double Reclining Sofa,87 x 37 x 39.25H,897.0
5428-S1,5428-84,Claire Collection,Side Chair,18.5 x 25 x 39.5H,69.0
5428-40,5428-84,Claire Collection,Server,56.75 x 18 x 36H,421.0
8223BK-2PW*,8223BK-3PW,Nicasio Collection ,Power Double Reclining Love Seat,66 x 37 x 39.25H,718.0
5415RF-78*,5415RF-78,Sedley Collection ,Dining Table,40 x 60 – 78 x 30H,325.0
8223BK-3PW*,8223BK-3PW,Nicasio Collection ,Power Double Reclining Sofa,87 x 37 x 39.25H,897.0
5099-22,5099-22,Millwood Collection ,Counter Height Writing Desk ,60 x 28 x 36H,235.0
2601-15,2601-15,Tempe Collection ," Writing Desk and Chair 
Table:  48 x 23.75 x 30H 
Chair:  17.5 x 20.5 x 37H ",,83.0
2145-5,2145T-1,Edina Collection ,Dresser,58 x 16.25 x 36.5H,206.0
3224N-17,3224N-17,Daria Collection ,"40"" W Bookcase",40 x 18 x 72H,242.0
1968-9,1968-1,Branton Collection ,Chest,33 x 16.25 x 50.25H,185.0
1191F6S,1191F6S,Orson Collection ,Accent Chair,26 x 23 x 30H,80.0
5099-17,5099-22,Millwood Collection ," 40"" W Bookshelf ",40 x 18 x 72H,231.0
2145-4,2145T-1,Edina Collection ,Night Stand,23.5 x 16.25 x 24.5H,73.0
3224N-16,3224N-05,Daria Collection,"26"" W Bookcase",26 x 15 x 74H,180.0
5469-60,5469-60,Chama Collection ,Dining Table,36 x 60 x 30H,86.0
459B-PU,459B-PU,Vega Collection ,Storage Cocktail Ottoman,42 x 42 x 19H,195.0
2147SG-4,2147SG-1,Mayville Collection ,Night Stand,21.5 x 15.75 x 23.75H,64.0
471PU,471PU,Clair Collection ," Lift Top Storage Bench, Dark Brown ",43 x 17 x 18H,95.0
2147-4,2147-1,Mayville Collection ,Night Stand,21.5 x 15.75 x 23.75H,63.0
1191F5S,1191F5S,Orson Collection ,Accent Chair,26 x 23 x 30H,84.0
4728ES,4728ES,Elwell Collection ,"Wedged Chairside Table, Espresso",24 x 16 x 23.5H,50.0
5099-17,5099-15,Millwood Collection ," 40"" W Bookshelf ",40 x 18 x 72H,231.0
470PU,470PU,Claire Collection ,Storage Cocktail Ottoman,38 x 38 x 20H,198.0
468F25S,468F25S,Lifestyle Collection ,Armless Chair,22.75 x 29.5 x 32.5H,98.0
5415RF-13,5415RF-78,Sedley Collection ,"58"" Bench",58 x 16 x 18H,122.0
5428-S3,5428-84,Claire Collection,Curved Arm Chair,23.5 x 25.75 x 36.5H,93.0
4738PU,4738PU,Blasey Collection ,Storage Bench with 2 Ottomans,45 x 17 x 18H,97.0
1869K-1CK,1869-1,Mill Valley Collection,California King Bed,HB: 60.75H FB: 29.75H,433.0
3224N-17,3224N-05,Daria Collection,"40"" W Bookcase",40 x 18 x 72H,242.0
4519-15,4519-15,Lavi Collection ,Writing Desk,50 x 24 x 30H,215.0
1193F2S,1193F2S,Barlowe Collection ,Accent Chair,31.5 x 30.75 x 32.75H,161.0
1191F2S,1191F2S,Orson Collection ,Accent Chair,26 x 23 x 30H,76.0
1191F4S,1191F4S,Orson Collection ,Accent Chair,26 x 23 x 30H,80.0
1908-1*,1908-1,Summerlin Collection ,Queen Bed,HB: 51.75H FB: 15H,160.0
8308-LCPW,8308,Olympia Collection ,Power Left Side Reclining Chair,32.25 x 36.5 x 39.5H,325.0
8336-AR,8336,Keamey Collection ,Armless Reclining Chair,32 x 39 x 40H,183.0
1958-50*,1958-96,Bevelle Collection ,Buffet & Hutch,61.75 x 20.5 x 83.75H,866.0
8318-LRPW,8318-AC,Laertes Collection ,Power Left Side Reclining Chair,39.5 x 36.75 x 39.5H,362.0
2615DC-36*,2615DC-36,Marston Collection ,Counter Height Table,54 x 54 x 36H,279.0
8206NF-1,8206NF-3,Aram Collection ,Glider Reclining Chair,45 x 40.25 x 40.25H,256.0
5428-S1,5428-45RD,Claire Collection,Side Chair,18.5 x 25 x 39.5H,69.0
586S,586-76,Ameillia Collection ,Side Chair,20 x 23 x 40H,45.0
5547S,5547-78*,Mantello Collection,Side Chair,19.25 x 22.75 x 39.75H,46.0
8308-RCPW,8308,Olympia Collection ,Power Right Side Reclining Chair,32.25 x 36.5 x 39.5H,325.0
1218DG-1,1218DG,Roweena Collection,Accent Chair,30.25 x 33 x 32.5H,149.0
2615DC-24,2615DC-36,Marston Collection ,Counter Height Chair,18.5 x 21.75 x 42.25H,84.0
8318-5R,8318-AC,Laertes Collection ,Right Side Chaise,39.5 x 62 x 39.5H,482.0
5099-17,50990-T,Millwood Collection," 40"" W Bookshelf ",40 x 18 x 72H,231.0
8308-CN,8308,Olympia Collection ,Console,13 x 36.5 x 39.5H,135.0
8329BLK-2,8329BLK-3,Jarita Collection ,Double Reclining Love Seat,62 x 39.5 x 39.5H,285.0
8336-CN,8336,Keamey Collection ,Console,13.5 x 38 x 40H,85.0
9723-2,9723,Geoffrey Collection,Double Reclining Love Seat,70.5 x 41 x 39H,427.0
5428-S3,5428-45RD,Claire Collection,Curved Arm Chair,23.5 x 25.75 x 36.5H,93.0
9701BLK-2,9701BLK,Dwyer Collection ,Love Seat,60 x 32 x 34.5H,172.0
8303-OT,8303-AC,Metz Collection ,Ottoman,57 x 31 x 18.5H,147.0
2147SG-6,2147SG-1,Mayville Collection ,Mirror,38.25 x 0.75 x 38.25H,37.0
8490FBR-RC,8490FBR-AC,Columbus Collection ,"Right Side Chaise, Push Back Recliner",39 x 65 x 40H,315.0
H10125,H10125,Lucca Collection,Table Lamp,16 x 10.5 x 27H,123.0
9739CH-L,9739CH,Brooks Collection ,Left Side 2-Seater,70 x 39.5 x 40H,0.0
5425-40,5425-90,Benwick Collection ,Server,54 x 18 x 40H,371.0
1957-5,1957-1,Jerrick Collection ,Dresser,62.5 x 17.75 x 39.5H,347.0
9739CH-R,9739CH,Brooks Collection ,Right Side Chaise,38 x 69 x 40H,0.0
8059-T,8059-T,Piedmont Collection ,"62"" TV Stand",62 x 20 x 26.5H,181.0
8077-T,8077-T,Falls Collection ,"47.5"" TV Stand with Slate Decor",47.5 x 17 x 33H,185.0
1919-4,1919-1,Antoinetta Collection ,Night Stand with Marble Top,34.75 x 18 x 32H,289.0
5544S,5544-72,Codie Collection ,Side Chair,20.5 x 24.5 x 38H,61.0
1828-92,1828-92,Chambord Collection ,Dining Table,44 x 76 – 92 x 30H,377.0
1704A,1704-60,Moorewood Park Collection ,Arm Chair,26 x 24.5 x 44H,159.0
1958-40,1958-96,Bevelle Collection ,Server,59.25 x 19.5 x 39.5H,411.0
5531-112*,5531-112,Chilton Collection ,Double Pedestal Dining Table,47.75 x 76 – 94 – 112 x 30.25H,632.0
8329BRW-1,8329BRW-3,Jarita Collection ,Reclining Chair,37.5 x 39.5 x 39.5H,183.0
1706K-1CK,1706-1,Moritz Collection ,California King Bed,HB: 56.25H FB: 12.25H,289.0
5456S,5456,Frankford Collection ,Side Chair,21 x 19 x 39H,52.0
8239-1,8239-3,Mandeville Collection ,Chair,44 x 36 x 39H,269.0
5525DGS,5525-72,Fielding Collection ,Side Chair,18 x 24.5 x 38H,59.0
5494-76*,5494-76,Savion Collection ,Round / Oval Pedestal Dining Table,60 x 60 – 76 x 30H,347.0
5447-36XL*,5447-36XL,Bayshore Collection ,Counter Height Table with Storage Base,47.5 x 53.5 – 71.25 x 36H,324.0
5531-50*,5531-112,Chilton Collection ,Buffet & Hutch,70 x 20 x 88H,1271.0
5035SVE-24,5035,Amara Collection ,"24"" Metal Stool, Silver",15.5 x 15.5 x 24H,36.0
1935-76*,1935-76,Bonaventure Park Collection ,Round / Oval Pedestal Dining Table,60 x 60 – 76 x 30H,600.0
5525-36,5525-36,Fielding Collection ,"Counter Height Table, Black Glass Insert",54 x 54 x 36H,274.0
5428-45RD*,5428-45RD,Claire Collection,Round Dining Table,45 Dia x 30H,259.0
5411RF-82,5411RF-82,Colmar Collection ,Dining Table,42 x 64 – 82 x 30H,255.0
5790K-1CK,5790-1,Zoey Collection ,California King Platform Bed,HB: 35H FB: 11H,171.0
5104,5104,Shankmen Collection ,5 Piece Set,,273.0
5100-S3,5100-84,Luella Collection ,Side Chair,19.5 x 23.5 x 39.5H,72.0
1828-40,1828-92,Chambord Collection ,Server,62 x 19 x 40H,419.0
710-40,710-54,Daisy Collection,Server,52 x 18 x 36H,338.0
5429-24ST,5429-36,Angstrom Collection,Counter Height Stool with Adjustable Height,22 x 22 x 24H,49.0
1968-1*,1968-1,Branton Collection ,Queen Bed,HB: 56H FB: 22H,180.0
5115-92*,5115-92,Aubriella Collection ,Dining Table,42 x 74 – 92 x 30H,299.0
1270F3S,1270F3S,Arles Collection ,Accent Chair with 1 Kidney Pillow,28.5 x 34.5 x 42.75H,222.0
5438-1*,5438-1,Toulon Collection ,Queen Platform Bed with Footboard Storages,HB: 59.5H FB: 19H,411.0
8225NGY-4,8225NGY,Alain Collection,Ottoman,26 x 26 x 19H,73.0
1916BK-4,1916BK-1,Allura Collection ,"Night Stand, LED Lighting",28 x 17 x 28H,140.0
8318-CR,8318-AC,Laertes Collection ,Corner Seat,64.5 x 40 x 39.5H,460.0
1828-6,1828-92,Chambord Collection ,Wall Mirror / Server Mirror,44 x 2 x 38H,124.0
2547S,2547-72,Maeve Collection ,Side Chair,19 x 23 x 38H,49.0
8318-5L,8318-AC,Laertes Collection ,Left Side Chaise,39.5 x 62 x 39.5H,482.0
5155S,5155,Rancho Portola Collection ,Side Chair,17 x 24 x 37.75H,27.0
8480GRY-1PW,8480GRY-3,Pecos Collection ,Power Reclining Chair,42 x 40 x 39H,317.0
8308-3PW*,8308-3PW,Olympia Collection ,Power Double Reclining Sofa,87.75 x 36.5 x 39.5H,815.0
727-40,727-72,Verona Collection ,Server,52 x 18 x 34H,272.0
1977K-1CK,1977-1,Aviana Collection ,California King Bed,HB: 63.5H FB: 31.5H,314.0
1149WHT,1149,Ride Collection ,White Airlift Swivel Stool,20.5 x 20 x 30H,40.0
9723-3,9723,Geoffrey Collection,Double Reclining Sofa,86.5 x 41 x 39H,479.0
1947-1*,1947-1,Lindley Collection ,Queen Bed,HB: 66.25H FB: 37H,524.0
1947-4,1947-1,Lindley Collection ,Night Stand,28 x 18 x 29.25H,148.0
2516A,2516-48,Euro Casual Collection ,Dining Chair,25 x 26.75 x 37H,104.0
5302C-18,5302C,Saddleback Collection ,"Stool, RTA, 18""H, Cherry",18 x 9 x 18H,20.0
8326BRW-2,8326BRW-3,Pendu Collection ,Double Reclining Love Seat,61 x 38.5 x 39H,430.0
8326BLK-2,8326BLK-3,Pendu Collection ,Double Reclining Love Seat,61 x 38.5 x 39H,430.0
8300-3PW*,8300-3PW,Vortex Collection ,Power Double Reclining Sofa,78.75 × 41 × 30 - 37.5H,877.0
2042-1*,2042-1,Woodrow Collection ,Queen Bed,HB: 48H FB: 16H,152.0
2447*,2447,Clarice Collection ,Dining Table,31.5 x 55.25 x 30H,128.0
1967W-4,1967W-1,Pell Collection ,Night Stand,23.25 x 15.5 x 23.75H,73.0
1961-1*,1961-1,Erwan Collection ,Queen Bed,HB: 55.25H FB: 16.75H,177.0
2046F-1*,2046-1,Garcia Collection ,Full Bed,HB: 50.5H FB: 16.5H,186.0
8300-2PW*,8300-3PW,Vortex Collection ,Power Double Reclining Love Seat,64.5 × 41 × 30 - 37.5H,789.0
2544-13,2544-64,Teague Collection ,"49"" Bench",49 x 18 x 20H,65.0
1157BRW,1157,Ride Collection ,Brown Bonded Leather Airlift Swivel Stool,21.65 x 19.69 x 24.41H,46.0
1977-7,1977-1,Aviana Collection ,Armoire,41.5 x 22 x 67.75H,467.0
1393BK-78,1393BK-78,Ohana Collection ,Dining Table,42 x 60 – 78 x 30H,239.0
1156WHT,1156,Ride Collection ,White Airlift Swivel Stool,18 x 19 x 31.5H,42.0
8327GY-3,8327GY-3,Deryn Collection ,Sofa,85.5 x 33.75 x 35.5H,313.0
8308-1PW,8308-3PW,Olympia Collection ,Power Reclining Chair,41.25 x 36.5 x 39.5H,373.0
1958K-1CK,1958-1,Bevelle Collection ,California King Bed,HB: 60H FB: 19.25H,491.0
2458-36,2458-36,Andover Collection ,5 Piece Counter Height Set,,252.0
1946K-1CK,1946-1,Verlyn Collection ,California King Canopy Bed,HB: 88H FB: 88H,662.0
8326BRW-3,8326BRW-3,Pendu Collection ,Double Reclining Sofa,81.5 x 38.5 x 39H,535.0
1949K-1CK,1949-1,Frederica Collection ,California King Bed,HB: 59.25H FB: 30.5H,366.0
3270-S1W,3270-48,Archstone Collection,"Side Chair, White",19 x 24 x 38.5H,53.0
5447-24FAS,5447-36XL,Bayshore Collection ,"Swivel Counter Height Chair, Chocolate",20.5 x 23 x 41.25H,82.0
