id,number,kiosk_price,new_price,old_price,diff
12226,5108-40,369,369,359,0
13150,1831P-1,129,129,125,0
13779,8233TT-3,315,315,299,0
12841,1717-6,92,92,92,0
12838,1717-1*,319,319,319,0
15986,8270-1,135,135,129,0
12856,1708-4,99,,99,99
12474,5302A-24,22,22,21,0
14238,8211*,379,379,359,0
15349,B2013DC-9,109,,109,109
12904,5797N-1*,149,,149
12292,5021DBS,52,52,50,0
14479,2147W-9,125,,125,125
12029,5479-72*,379,,379
12016,5489-24,32,32,30,0
12293,5021BES,52,52,50,0
15884,8260DB-AC,85,85,82,0
11968,5520-40,269,269,259,0
15395,1603-4,189,189,179,0
12222,5115A,56,,56
12828,1723-9,279,,279,279
14434,2145-6,32,,32,32
12152,5438-40,409,409,399,0
12839,1717-4,149,149,139,0
12441,5447-36*,203,203,199,0
16089,9907DG-1,289,289,279,0
15934,8248GRY-2,135,135,129,0
12656,5400K-1CK*,369,369,359,0
13709,8235SS-L,140,140,134,0
15992,1219GY-1,115,115,109,0
13021,1907K-1CK*,355,355,349,0
13710,8235SS-R,156,156,145,0
13896,8308-5R,281,281,270,0
13656,8367CH-3,160,160,150,0
12922,1885KN-1EK*,209,209,199,0
15976,8401GY-3SC,209,209,199,0
14437,1936F-1*,119,119,119,0
15033,5099-17,209,209,199,0
15512,5880FDB-1,125,125,119,0
15846,5562-40,409,409,399,0
14517,1356BK-5,195,,195
12389,1155BLK,37,,37
12874,1706-9,239,239,229,0
13939,8327GY-1S,165,165,155,0
15926,8246CR-1,220,,220,220
15146,1242-1,209,209,199,0
16042,9990GY-3,315,315,299,0
12892,1714KBK-1EK*,389,389,379,0
13906,9789CF-3LC,205,205,195,0
12399,1147RED,27,,27,27
12915,1883FN-1*,209,209,199,0
12159,5400-07,359,359,349,0
14070,8427-3,439,439,419,0
15702,1715-6,72,72,72,0
15975,9789DG-4,62,62,59,0
13043,1911K-1EK*,369,,369,369
14016,8480GRY-3PW,499,499,479,0
15284,5424-4,169,169,169,0
15983,8267GY-1,105,105,99,0
13488,1737W-4,139,139,136,0
15505,5887K-1CK*,225,225,219,0
14411,1386-6,75,,75,75
16007,1224F1S,94,94,89,0
12223,5115-40,299,,299
15965,9957CH*SC,319,319,299,0
12106,5285-64,131,131,125,0
11971,5518-40,289,289,279,0
14599,4950GY*,145,145,139,0
12825,1723-4,159,,159,159
12973,1915-10,199,199,189,0
12204,5167-50*,749,749,725,0
13004,1844DC-9,219,219,209,0
12559,710-24W,59,59,57,0
12968,1915F-1*,229,229,219,0
15947,9940DB-1,99,,99,99
12713,1961-4,65,65,59,0
13022,1907K-1EK*,355,355,349,0
14442,1904T-1*,99,,99,99
13966,8329BRW-2,235,235,219,0
15936,9979DGY-2,99,,99,99
12208,5149-48*,61,,61
12214,5145W-78,257,,257,257
12387,1156RED,37,,37,37
12897,1714BK-9,205,205,200,0
12876,1704K-1CK*,599,,599,599
14272,4829LN*,179,179,169,0
16005,1219BU-2,189,189,179,0
12982,1908K-1CK*,199,199,189,0
11943,5546-55,270,270,260,0
15889,8260DB-RRPW,196,196,186,0
13894,8480BRW-CR,201,201,191,0
13991,8490-RC,230,230,219,0
15952,9923DBR-R,160,160,150,0
15953,9924GRY-L,186,186,176,0
13835,8206BRW-1,219,219,209,0
13081,1912-4,199,,199,199
13079,1912K-1EK*,599,,599,599
16059,9937-1PWH,299,299,289,0
12689,1977F-1*,199,199,199,0
14424,2220T-1*,75,,75,75
16033,9903DB-2,339,339,319,0
13874,8230BRW-3,349,349,329,0
14513,1349-9,185,,185,185
14085,8412-3,699,699,665,0
12100,586GYS,39,39,38,0
14415,1386-11,285,,285,285
13073,1935PN-1*,499,499,499,0
13082,1912-5,499,,499,499
12627,2042-6,33,33,31,0
14889,4500-F2,39,39,37,0
14320,B2053W-R,53,53,52,0
15973,9789TL-4,62,62,59,0
12035,5478S,52,52,50,0
16116,8427GY-2,419,419,399,0
12800,1909RF-9,269,,269,269
12767,1946-6,92,,92,92
13084,1912-9,359,,359,359
15491,5875BE-1*,205,205,199,0
16050,9928DBR-1,165,165,159,0
13900,8308-CR,279,279,270,0
12241,1828S,115,,115
12068,1947-40,309,309,299,0
12391,1155RED,37,,37
14720,3508-04,65,65,62,0
12218,5123A,85,85,83,0
13284,1811W-5,299,299,289,0
15798,1144E-24S,63,63,61,0
13794,8200BRW-3,525,525,499,0
12119,1915-60,95,95,89,0
13044,1911-1*,279,,279,279
15011,4732PU,169,169,159,0
12257,710WS,55,55,52,0
12593,5106BK,71,71,69,0
15854,5547-36,127,127,121,0
12043,5431-24BH,123,123,119,0
14905,1193F5S,139,139,133,0
13080,1912-1*,499,,499,499
14906,1193F3S,129,,129
15991,1282GY-1,145,145,139,0
15972,9789TL-3LC,205,205,195,0
12975,1737KNGY-1EK*,465,465,459,0
15443,5877BR-1DW*,269,,269,269
12036,5478-13*,120,120,115,0
15664,1729-4,165,165,159,0
12378,2526S,82,82,78,0
15242,1916GY-9,249,,249,249
13306,2147TW-1*,119,,119,119
13085,1918K-1CK*,469,,469,469
13078,1912K-1CK*,599,,599,599
14313,B2053W-R,53,53,52,0
12309,2615DC-50*,689,689,669,0
12095,5429-24,51,51,49,0
15849,5562-40,409,409,399,0
12633,5873KN-1CK*,255,255,249,0
15892,8255GY-CR,181,181,171,0
15954,9924GRY-R,184,184,174,0
15508,5887F-1*,175,175,169,0
15533,MT-G10CK,289,289,279,0
15797,1133-29S,79,79,77,0
16118,9938SN-3SL,349,349,329,0
15168,1730GY-9,195,195,189,0
15193,1766-4,125,125,119,0
15980,8267BE-1,105,105,99,0
14741,5560-30,249,249,235,0
14374,1955-4,65,65,59,0
11944,5538W*,39,39,37,0
12268,2601-36,65,65,59,0
13736,8244RN-1,149,149,139,0
13158,2615DC-11,299,299,289,0
12271,5038S,19,19,18,0
15286,5424-6,63,63,62,0
15287,5424-9,289,289,280,0
12367,2538-13,54,54,52,0
12130,5415RFS,45,45,45,0
15945,9940DB-3,160,,160,160
14277,1191F4S,71,,71,71
12467,5302C-29,23,23,22,0
16099,9815-1*,309,309,299,0
