Model,Status,Additional_Description,Description,Location_ID,Price,Current can sell Qty,Confirmed,Estimated?,Product Origin Code,Weight,CBF,Master Pack,Catalog_Page
1348-3,DS,,(3/3) Q SIDE RAILS & SLATS,HMLG,29.06(Unit Price),0,,,VCST,26.56,1.74,1,
1348-4,DS,,"NIGHT STAND, CHERRY FIN",HMLG,,0,,,VCST,46.49,8.69,1,
1348-6,DS,,"MIRROR, CHERRY FIN",HMLG,,0,,,VCST,23.24,3.47,1,
1348-9,DS,,"CHEST, CHERRY FIN",HMLG,,0,,,VCST,110.7,25.7,1,
1348DC-11,DS,,TV CHEST,HMLG,229.00(Unit Price),0,,,VCST,125.4,26.4,1,XXB-42
1348DC-15,DS,,WRITING DESK,HMLG,189.00(Unit Price),0,,,VCST,94.6,10.2,1,XXY-40
1348DC-15C,DS,,"WRITING DESK CHAIR, 1PC/CTN, PU",HMLG,30.00(Unit Price),0,,,VCST,13.2,2,1,
1348DC-1HB,DS,,QUEEN / FULL HEADBOARD,HMLG,82.00(Unit Price),0,,,VCST,39.68,6.1,1,XXB-118
1348DC-2,DS,TBDS,(2/3) QN FTBD,HMLG,32.06(Unit Price),2,,,VCST,12.1,1.8,1,XXB-42
1348DC-3,DS,TBDS,(3/3) QN RL & SL,HMLG,48.06(Unit Price),0,,,VCST,26.4,1.74,1,XXB-42
1348DC-4,DS,,"NIGHT STAND, DARK CHERRY",HMLG,92.00(Unit Price),0,,,VCST,46.2,8.69,1,XXB-42
1348DC-5,DS,,DRESSER,HMLG,205.00(Unit Price),0,,,VCST,117.7,26.2,1,XXB-42
1348DC-6,DS,,MIRROR,HMLG,48.00(Unit Price),0,,,VCST,23.1,3.47,1,XXB-42
1348FDC-1,DS,,"(1/3) FULL HDBD, D.CHERRY FIN.",HMLG,74.88(Unit Price),0,,,VCST,31.9,5.53,1,XXY-39
1348FDC-2,DS,TBDS,(2/3) FULL FTBD,HMLG,32.06(Unit Price),0,,,VCST,11,1.64,1,XXY-39
1348FDC-3,DS,,(3/3) FULL RL & SL,HMLG,48.06(Unit Price),0,,,VCST,24.2,1.74,1,XXY-39
1348K-3EK,DS,,(3/3) E KING RAILS & SLATS,HMLG,,0,,,VCST,30.99,1.7,1,
1348KDC-1EK,DS,,"(1/3) EK HDBD, D.CHERRY FIN.",HMLG,114.88(Unit Price),1,,,VCST,41.8,7.2,1,XXB-42
1348KDC-2CK,DS,TBDS,(2/3) CK FTBD,HMLG,27.06(Promotional Price),1,,,VCST,14.3,2.24,1,XXB-42
1348KDC-2EK,DS,,(2/3) EK FTBD,HMLG,45.06(Unit Price),1,,,VCST,16.5,2.13,1,XXB-42
1348KDC-3CK,DS,TBDS,(3/3) CK RL & SL,HMLG,36.06(Promotional Price),1,,,VCST,28.6,1.74,1,XXB-42
1348KDC-3EK,DS,,(3/3) EK RL & SL,HMLG,65.06(Unit Price),0,,,VCST,30.8,1.82,1,XXB-42
1348PR-1,DS,,(1/3) TWIN CPT'S/TRD HDBD&FTBD,HMLG,104.88(Unit Price),1,,,VCST,55.35,6.86,1,XXY-42
1348PRDC-1,DS,,(1/3) T.CPTN'S/TRD HB&FB&SL,HMLG,104.88(Unit Price),0,,,VCST,55,6.86,1,XXY-41
1348PRDC-2,DS,,"(2/3) T.CPTN'S/TRD RAILS,D.CHRY",HMLG,74.06(Unit Price),0,,,VCST,17.6,1.52,1,XXY-41
1348PRDC-T,DS,,"(3/3) TOY BOX, 3 DRWRS, K/D",HMLG,70.06(Promotional Price),0,,,VCST,61.6,2.77,1,XXY-41
1348PRF-1,DS,,"(1/3) FULL CPT'S/TRD HB&FB,CHRY",HMLG,79.88(Promotional Price),0,,,VCST,74.8,9.28,1,XXY-42
1348PRFDC-2,DS,,"(2/3) F.CPTN'S/TRD RAILS,D.CHRY",HMLG,39.06(Promotional Price),0,,,VCST,17.6,1.52,1,XXY-41
1348PR-R,DS,TBDS,"(3/3) TWIN TRUNDLE UNIT, K/D",HMLG,70.06(Promotional Price),0,,,VCST,39.85,4.04,1,XXY-42
1348PR-T,DS,,"(3/3) TOY BOX, K/D (3-DRAWER)",HMLG,90.06(Unit Price),0,,,VCST,61.99,2.77,1,XXY-42
1348T-2,DS,,"(2/3) TWIN FTBD, CHRY FIN",HMLG,21.06(Unit Price),0,,,VCST,9.96,1.38,1,
1348TDC-1,DS,,"(1/3) TWIN HDBD, D.CHERRY FIN.",HMLG,64.88(Unit Price),1,,,VCST,28.6,4.49,1,XXY-39
1348TDC-3,DS,,(3/3) TWIN RL & SL,HMLG,48.06(Unit Price),0,,,VCST,24.2,1.73,1,XXY-39
1349K-1CK,DS,,(1/3) CAL KING HDBD,HMLG,124.88(Unit Price),0,,,VCST,38.5,8.7398,1,B-77
1349K-2CK,DS,,(2/3) CAL KING FTBD,HMLG,105.06(Unit Price),0,,,VCST,14.3,7.4029,1,B-77
1349K-3CK,DS,,(3/3) CAL KING RAILS & SLATS,HMLG,55.06(Unit Price),0,,,VCST,32.1,2.12,1,B-77
134HK-1,DS,,T METAL HDBD & FTBD,HMLG,15.00(Unit Price),0,,,CGAW,34.31,6.28,1,
1353-2,DS,,(2/3) QUEEN FTBD,HMLG,,0,,,VCST,12.17,1.8,1,
1353-3,DS,,(3/3) QUEEN RL&SL,HMLG,,0,,,VCST,26.56,1.74,1,
1353-4,DS,,NIGHT STAND,HMLG,,0,,,VCST,46.49,8.69,1,
1353-5,DS,,DRESSER,HMLG,,0,,,VCST,118.44,26.2,1,
1353-6,DS,,MIRROR,HMLG,,0,,,VCST,23.24,3.47,1,
1353-9,DS,,CHEST,HMLG,159.00(Unit Price),1,,,VCST,110.7,25.7,1,
1353F-1,DS,,(1/3) FULL HDBD,HMLG,,0,,,VCST,22.14,5.53,1,
1353F-2,DS,,(2/3) FULL FTBD,HMLG,,0,,,VCST,9.96,1.64,1,
1353F-3,DS,,(3/3) FULL RL&SL,HMLG,,0,,,VCST,24.35,1.73,1,
1353K-1EK,DS,,(1/3) EK HDBD,HMLG,46.88(Unit Price),2,,,VCST,42.06,7.57,1,
1353K-2EK,DS,,(2/3) EK FTBD,HMLG,19.06(Unit Price),2,,,VCST,16.6,2.24,1,
